model_name,indices_used,best_trial_number,r2_score,best_params
efficientnet,"mndwi,ndbi",0,0.4982846833329738,"{""batch_size"": 64, ""lr"": 0.0008128157475959738, ""weight_decay"": 2.2538526768336016e-05, ""dropout"": 0.2291556534250041, ""optimizer"": ""Adam""}"
efficientnet,"msavi,mndwi",0,0.49973026418975985,"{""batch_size"": 32, ""lr"": 0.0007428731002726608, ""weight_decay"": 8.892850738131614e-06, ""dropout"": 0.28222713624624707, ""optimizer"": ""Adam""}"
efficientnet,"msavi,ndbi",4,0.4847476270266956,"{""batch_size"": 64, ""lr"": 0.0004749475826825416, ""weight_decay"": 2.5532516477332207e-05, ""dropout"": 0.2553901072312363, ""optimizer"": ""Adam""}"
efficientnet,"msavi,ndbi,mndwi",1,0.47997520780762337,"{""batch_size"": 64, ""lr"": 8.827692935214043e-05, ""weight_decay"": 4.999516863214974e-06, ""dropout"": 0.26156147879634617, ""optimizer"": ""Adam""}"
efficientnet,"msavi,ndbi,vari",4,0.4845756009829624,"{""batch_size"": 64, ""lr"": 0.00036103922577152106, ""weight_decay"": 7.246382232634515e-06, ""dropout"": 0.2065620346681798, ""optimizer"": ""Adam""}"
efficientnet,"msavi,vari,mndwi",-,-,-
efficientnet,"msavi,vari,ndbi,mndwi",0,0.47392921340684124,"{""batch_size"": 32, ""lr"": 3.0485199625064932e-05, ""weight_decay"": 4.095411118623813e-05, ""dropout"": 0.29725666288980407, ""optimizer"": ""Adam""}"
efficientnet,"vari,ndbi",2,0.47307488838891154,"{""batch_size"": 64, ""lr"": 0.000518046888624103, ""weight_decay"": 1.6992455073686541e-06, ""dropout"": 0.260668481094275, ""optimizer"": ""Adam""}"
resnet,"mndwi,ndbi",2,0.4405402828377639,"{""batch_size"": 64, ""lr"": 0.0002479240942540557, ""weight_decay"": 1.783651049067507e-05, ""dropout"": 0.2593270334330929, ""optimizer"": ""Adam""}"
resnet,"msavi,mndwi",4,0.43374962739777556,"{""batch_size"": 128, ""lr"": 0.00016009513613826455, ""weight_decay"": 3.867566552032552e-05, ""dropout"": 0.23321403258911874, ""optimizer"": ""Adam""}"
resnet,"msavi,ndbi",4,0.420050110901389,"{""batch_size"": 128, ""lr"": 0.00013174219735553552, ""weight_decay"": 5.141832818698884e-05, ""dropout"": 0.32397639664314226, ""optimizer"": ""Adam""}"
resnet,"msavi,ndbi,mndwi",4,0.42898998931368515,"{""batch_size"": 128, ""lr"": 0.00010706832307322593, ""weight_decay"": 8.752853736521066e-05, ""dropout"": 0.27848335903116117, ""optimizer"": ""Adam""}"
resnet,"msavi,ndbi,vari",2,0.4321680501984123,"{""batch_size"": 64, ""lr"": 5.9497359286779374e-05, ""weight_decay"": 8.571673261623634e-05, ""dropout"": 0.3833318702089841, ""optimizer"": ""Adam""}"
resnet,"msavi,vari,mndwi",3,0.45239506566286547,"{""batch_size"": 64, ""lr"": 0.00016605615712942458, ""weight_decay"": 8.036194354438782e-05, ""dropout"": 0.3658758255507506, ""optimizer"": ""Adam""}"
resnet,"msavi,vari,ndbi,mndwi",-,-,-
resnet,"vari,ndbi",2,0.42451693947414937,"{""batch_size"": 64, ""lr"": 0.00013639679239425487, ""weight_decay"": 2.4129610245361315e-05, ""dropout"": 0.2918258562858058, ""optimizer"": ""Adam""}"
vgg,"mndwi,ndbi",3,0.4416792823963096,"{""batch_size"": 128, ""lr"": 0.0002807101316745478, ""weight_decay"": 1.335848795490929e-05, ""dropout"": 0.36718139207930955, ""optimizer"": ""Adam""}"
vgg,"msavi,mndwi",4,0.4552972612040971,"{""batch_size"": 64, ""lr"": 0.00011568663992993772, ""weight_decay"": 5.895280516997864e-05, ""dropout"": 0.469536613108493, ""optimizer"": ""Adam""}"
vgg,"msavi,ndbi",5,0.4363577782517777,"{""batch_size"": 64, ""lr"": 0.000209214325329649, ""weight_decay"": 6.086568868827778e-05, ""dropout"": 0.4475059758808697, ""optimizer"": ""Adam""}"
vgg,"msavi,ndbi,mndwi",1,0.44709429773924847,"{""batch_size"": 128, ""lr"": 7.780102729811277e-05, ""weight_decay"": 5.082269956360719e-05, ""dropout"": 0.3450303648472217, ""optimizer"": ""Adam""}"
vgg,"msavi,ndbi,vari",3,0.4543652454130013,"{""batch_size"": 64, ""lr"": 9.283123104599471e-05, ""weight_decay"": 2.3104301096314698e-05, ""dropout"": 0.4531346291139466, ""optimizer"": ""Adam""}"
vgg,"msavi,vari,mndwi",1,0.4463928285105475,"{""batch_size"": 64, ""lr"": 7.213487240811229e-05, ""weight_decay"": 1.738157428653727e-05, ""dropout"": 0.4525314756344192, ""optimizer"": ""Adam""}"
vgg,"msavi,vari,ndbi,mndwi",2,0.43497499258096606,"{""batch_size"": 64, ""lr"": 4.3073889918794525e-05, ""weight_decay"": 1.816614031689226e-05, ""dropout"": 0.4667283483058566, ""optimizer"": ""Adam""}"
vgg,"vari,ndbi",3,0.4288011763729924,"{""batch_size"": 64, ""lr"": 9.286554902542853e-05, ""weight_decay"": 8.699206900907281e-05, ""dropout"": 0.41172079275918516, ""optimizer"": ""Adam""}"
