model_name,indices_used,best_trial_number,r2_score,best_params
efficientnet,mndwi,4,0.4520528428627236,"{""batch_size"": 32, ""lr"": 0.0005922610708930688, ""weight_decay"": 4.215947907539151e-05, ""dropout"": 0.23071291414195705, ""optimizer"": ""Adam""}"
efficientnet,msavi,1,0.4426231033429361,"{""batch_size"": 64, ""lr"": 0.000334213128551967, ""weight_decay"": 8.543400715737477e-06, ""dropout"": 0.24469766713448457, ""optimizer"": ""Adam""}"
efficientnet,ndbi,4,0.4411116180504613,"{""batch_size"": 32, ""lr"": 0.000675883013737134, ""weight_decay"": 1.5403295673298197e-06, ""dropout"": 0.24592572852957292, ""optimizer"": ""Adam""}"
efficientnet,ndmi,2,0.4351467808814987,"{""batch_size"": 64, ""lr"": 0.0005516070925508408, ""weight_decay"": 4.3175934671761035e-05, ""dropout"": 0.2750543494178276, ""optimizer"": ""Adam""}"
efficientnet,ndvi,4,0.4497641264311021,"{""batch_size"": 64, ""lr"": 0.0006675276268554191, ""weight_decay"": 1.2322019385712958e-06, ""dropout"": 0.26969081795564687, ""optimizer"": ""Adam""}"
efficientnet,vari,3,0.44936245580417955,"{""batch_size"": 32, ""lr"": 0.0004450533897796368, ""weight_decay"": 1.050435624726767e-05, ""dropout"": 0.2976143911010626, ""optimizer"": ""Adam""}"
resnet,mndwi,0,0.39791102108074683,"{""batch_size"": 64, ""lr"": 0.00014134040222529062, ""weight_decay"": 7.58115340879245e-05, ""dropout"": 0.2758146195226806, ""optimizer"": ""Adam""}"
resnet,msavi,4,0.41134616755592157,"{""batch_size"": 64, ""lr"": 0.00018287973352030853, ""weight_decay"": 2.0703322852144627e-05, ""dropout"": 0.3783224936334434, ""optimizer"": ""Adam""}"
resnet,ndbi,1,0.36363540427702945,"{""batch_size"": 128, ""lr"": 0.00011749719868442203, ""weight_decay"": 2.0140183366183586e-05, ""dropout"": 0.25672439746602105, ""optimizer"": ""Adam""}"
resnet,ndmi,1,0.3705353744512626,"{""batch_size"": 64, ""lr"": 0.0001787675281143013, ""weight_decay"": 1.7066194019639905e-05, ""dropout"": 0.30713673521415175, ""optimizer"": ""Adam""}"
resnet,ndvi,4,0.37285558793596707,"{""batch_size"": 128, ""lr"": 6.609334032143407e-05, ""weight_decay"": 4.329800543201371e-05, ""dropout"": 0.2615189397668259, ""optimizer"": ""Adam""}"
resnet,vari,3,0.38895005748704836,"{""batch_size"": 64, ""lr"": 0.00010144150246180039, ""weight_decay"": 2.441881765505293e-05, ""dropout"": 0.20257738721046598, ""optimizer"": ""Adam""}"
vgg,mndwi,1,0.4209756243370496,"{""batch_size"": 64, ""lr"": 0.00015490554989216717, ""weight_decay"": 6.003279646814816e-05, ""dropout"": 0.4547086735641679, ""optimizer"": ""Adam""}"
vgg,msavi,2,0.4110118163336587,"{""batch_size"": 128, ""lr"": 9.389895242319256e-05, ""weight_decay"": 1.3767838796995787e-05, ""dropout"": 0.4159519348437966, ""optimizer"": ""Adam""}"
vgg,ndbi,3,0.3624761876527217,"{""batch_size"": 128, ""lr"": 5.3707053455348843e-05, ""weight_decay"": 1.26258219967555e-05, ""dropout"": 0.49013635646615317, ""optimizer"": ""Adam""}"
vgg,ndmi,4,0.3756873077578524,"{""batch_size"": 64, ""lr"": 0.00011896661657026914, ""weight_decay"": 1.3460915985780393e-05, ""dropout"": 0.34493713377327473, ""optimizer"": ""Adam""}"
vgg,ndvi,2,0.41966897130734326,"{""batch_size"": 64, ""lr"": 0.0001733650754110377, ""weight_decay"": 8.19158665200732e-05, ""dropout"": 0.33227685172693977, ""optimizer"": ""Adam""}"
vgg,vari,1,0.40011783728335515,"{""batch_size"": 64, ""lr"": 8.2281045817989e-05, ""weight_decay"": 1.0843987321060706e-05, ""dropout"": 0.30100434454866304, ""optimizer"": ""Adam""}"
