Model,Bins,Index,Best Parameters,Test R²,Test MSE
xgboost,10,ndvi,"{'learning_rate': 0.1, 'max_depth': 7, 'n_estimators': 200}",0.7033115166365265,0.22197267164252393
xgboost,15,ndvi,"{'learning_rate': 0.1, 'max_depth': 7, 'n_estimators': 200}",0.7066085911748317,0.21950590773050677
xgboost,20,ndvi,"{'learning_rate': 0.1, 'max_depth': 7, 'n_estimators': 200}",0.7068584861919645,0.21931894440805386
xgboost,25,ndvi,"{'learning_rate': 0.1, 'max_depth': 7, 'n_estimators': 200}",0.7088932754095618,0.21779658130942922
xgboost,30,ndvi,"{'learning_rate': 0.1, 'max_depth': 7, 'n_estimators': 200}",0.7074028603729594,0.21891166135493778
gradient_boost,10,ndvi,"{'learning_rate': 0.1, 'max_depth': 7, 'n_estimators': 200}",0.7002331105273218,0.2242758349494181
gradient_boost,15,ndvi,"{'learning_rate': 0.1, 'max_depth': 7, 'n_estimators': 200}",0.7048169805252257,0.2208463325354326
gradient_boost,20,ndvi,"{'learning_rate': 0.1, 'max_depth': 7, 'n_estimators': 200}",0.705176031094326,0.22057770257995046
gradient_boost,25,ndvi,"{'learning_rate': 0.1, 'max_depth': 7, 'n_estimators': 200}",0.7055869938724435,0.2202702335984444
gradient_boost,30,ndvi,"{'learning_rate': 0.1, 'max_depth': 7, 'n_estimators': 200}",0.7043142125018347,0.22122248721492457
random_forest,10,ndvi,"{'max_depth': 20, 'n_estimators': 200}",0.7000557983358128,0.22440849416294018
random_forest,15,ndvi,"{'max_depth': 20, 'n_estimators': 200}",0.7027321121497697,0.2224061632308358
random_forest,20,ndvi,"{'max_depth': 20, 'n_estimators': 200}",0.704870611482157,0.2208062075981319
random_forest,25,ndvi,"{'max_depth': 20, 'n_estimators': 200}",0.7077991660918436,0.21861515830833939
random_forest,30,ndvi,"{'max_depth': 20, 'n_estimators': 200}",0.7064852579829057,0.21959818161253827
xgboost,10,ndmi,"{'learning_rate': 0.1, 'max_depth': 7, 'n_estimators': 200}",0.6892614958543829,0.23248444012874675
xgboost,15,ndmi,"{'learning_rate': 0.1, 'max_depth': 7, 'n_estimators': 200}",0.6965270596674655,0.22704858164076017
xgboost,20,ndmi,"{'learning_rate': 0.1, 'max_depth': 7, 'n_estimators': 200}",0.6951521866766625,0.22807721688631447
xgboost,25,ndmi,"{'learning_rate': 0.1, 'max_depth': 7, 'n_estimators': 200}",0.695202797994362,0.22803935114485466
xgboost,30,ndmi,"{'learning_rate': 0.1, 'max_depth': 7, 'n_estimators': 200}",0.6960641645879122,0.22739490468078444
gradient_boost,10,ndmi,"{'learning_rate': 0.1, 'max_depth': 7, 'n_estimators': 200}",0.6819979669016543,0.23791877620041268
gradient_boost,15,ndmi,"{'learning_rate': 0.1, 'max_depth': 7, 'n_estimators': 200}",0.6899968466054058,0.2319342746186183
gradient_boost,20,ndmi,"{'learning_rate': 0.1, 'max_depth': 7, 'n_estimators': 200}",0.6896125123291618,0.2322218210212779
gradient_boost,25,ndmi,"{'learning_rate': 0.1, 'max_depth': 7, 'n_estimators': 200}",0.6904089711629582,0.23162593643153298
gradient_boost,30,ndmi,"{'learning_rate': 0.1, 'max_depth': 7, 'n_estimators': 200}",0.6934741037608623,0.2293327039339917
